Age_ma,Pacific_d18O_trend,Pacific_d18O_low,Pacific_d18O_high
20,1.53,1.41,1.64
20.1,1.52,1.40,1.64
20.2,1.52,1.41,1.64
20.3,1.55,1.43,1.66
20.4,1.58,1.47,1.69
20.5,1.61,1.50,1.72
20.6,1.64,1.53,1.75
20.7,1.65,1.55,1.76
20.8,1.66,1.56,1.76
20.9,1.65,1.54,1.75
21,1.64,1.53,1.75
21.1,1.63,1.52,1.73
21.2,1.61,1.49,1.72
21.3,1.57,1.47,1.68
21.4,1.53,1.43,1.64
21.5,1.49,1.39,1.60
21.6,1.46,1.35,1.58
21.7,1.45,1.33,1.57
21.8,1.44,1.32,1.57
21.9,1.45,1.33,1.58
22,1.46,1.33,1.59
22.1,1.48,1.35,1.61
22.2,1.50,1.37,1.62
22.3,1.51,1.39,1.63
22.4,1.52,1.40,1.65
22.5,1.54,1.41,1.67
22.6,1.58,1.45,1.71
22.7,1.63,1.50,1.75
22.8,1.69,1.57,1.80
22.9,1.74,1.63,1.84
23,1.75,1.64,1.86
23.1,1.71,1.60,1.83
23.2,1.65,1.54,1.77
23.3,1.58,1.47,1.70
23.4,1.52,1.41,1.63
23.5,1.48,1.36,1.60
23.6,1.46,1.34,1.57
23.7,1.45,1.34,1.57
23.8,1.46,1.35,1.56
23.9,1.47,1.36,1.57
24,1.49,1.38,1.60
24.1,1.52,1.41,1.63
24.2,1.55,1.43,1.67
24.3,1.59,1.47,1.71
24.4,1.62,1.49,1.74
24.5,1.64,1.51,1.77
24.6,1.66,1.53,1.78
24.7,1.67,1.54,1.80
24.8,1.67,1.54,1.81
24.9,1.69,1.55,1.83
25,1.71,1.56,1.85
25.1,1.73,1.59,1.87
25.2,1.76,1.62,1.90
25.3,1.79,1.65,1.93
25.4,1.81,1.67,1.96
25.5,1.83,1.70,1.96
25.6,1.84,1.70,1.98
25.7,1.86,1.71,2.00
25.8,1.87,1.73,2.01
25.9,1.88,1.74,2.01
26,1.88,1.75,2.01
26.1,1.88,1.75,2.01
26.2,1.87,1.74,1.99
26.3,1.85,1.73,1.97
26.4,1.83,1.71,1.96
